State/UTs,Coverage_Pct,Deaths,Death_Pct
ANDAMAN AND NICOBAR,80.3,129,1.2
ANDHRA PRADESH,47.5,14733,0.63
ARUNACHAL PRADESH,43.72,296,0.44
ASSAM,57.16,8035,1.08
BIHAR,46.04,12314,1.44
CHANDIGARH,79.55,1185,1.18
CHHATTISGARH,57.57,14190,1.19
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,76.89,4,0.03
DELHI,74.38,26666,1.31
GOA,80.46,4014,1.52
GUJARAT,70.24,11079,0.86
HARYANA,64.88,10755,1.0
HIMACHAL PRADESH,77.08,4241,1.31
JAMMU AND KASHMIR,69.26,4792,0.99
JHARKHAND,40.18,5334,1.2
KARNATAKA,72.59,40358,0.99
KERALA,68.6,72042,1.04
LADAKH,64.41,231,0.78
LAKSHADWEEP,84.88,52,0.46
MADHYA PRADESH,63.6,10786,1.02
MAHARASHTRA,57.36,148558,1.82
MANIPUR,35.68,2149,1.53
MEGHALAYA,27.19,1628,1.68
MIZORAM,51.15,734,0.31
NAGALAND,33.03,782,2.17
ODISHA,63.61,9215,0.68
PUDUCHERRY,48.74,1981,1.12
PUNJAB,64.33,19338,2.44
RAJASTHAN,58.6,9736,0.73
SIKKIM,77.37,501,1.12
TAMIL NADU,63.96,38081,1.05
TELANGANA,76.2,4111,0.49
TRIPURA,55.65,942,0.87
UTTAR PRADESH,63.87,23712,1.11
UTTARAKHAND,67.94,7768,1.72
WEST BENGAL,61.06,21555,1.01
