State/UTs,"Total Vaccination Doses",running_total
"Uttar Pradesh",392011174,392011174
Maharashtra,177977996,569989170
Bihar,157293015,727282185
"West Bengal",156100370,883382555
"Madhya Pradesh",133940196,1017322751
Gujarat,128105565,1145428316
"Tamil Nadu",127533904,1272962220
Karnataka,122152396,1395114616
Rajasthan,115721511,1510836127
"Andhra Pradesh",110957430,1621793557
Odisha,81545960,1703339517
Telangana,77627542,1780967059
Kerala,57511593,1838478652
Assam,50335778,1888814430
Chhattisgarh,49167939,1937982369
Punjab,47051166,1985033535
Haryana,45546800,2030580335
Jharkhand,43875944,2074456279
Delhi,37409355,2111865634
"Jammu And Kashmir",24782265,2136647899
Uttarakhand,20143654,2156791553
"Himachal Pradesh",15325484,2172117037
Tripura,5918997,2178036034
Manipur,3269105,2181305139
Goa,2874477,2184179616
Meghalaya,2626010,2186805626
Chandigarh,2291937,2189097563
Puducherry,2274059,2191371622
"Arunachal Pradesh",1924584,2193296206
Mizoram,1793298,2195089504
Nagaland,1739837,2196829341
"Dadra And Nagar Haveli And Daman And Diu",1580060,2198409401
Sikkim,1360477,2199769878
"Andaman And Nicobar",991264,2200761142
Ladakh,567133,2201328275
Lakshadweep,145313,2201473588
